iter	Passed	Remaining
0	29	28654
1	56	27818
2	84	27905
3	113	28000
4	142	28075
5	170	27929
6	199	27928
7	227	27865
8	256	27882
9	284	27868
10	313	27815
11	341	27750
12	368	27661
13	396	27584
14	423	27475
15	451	27416
16	477	27258
17	502	27101
18	529	27007
19	556	26953
20	582	26823
21	609	26767
22	635	26652
23	661	26571
24	687	26497
25	715	26486
26	741	26405
27	768	26343
28	795	26322
29	822	26260
30	849	26210
31	875	26165
32	902	26130
33	928	26057
34	955	26011
35	983	25995
36	1010	25966
37	1037	25948
38	1067	25974
39	1096	25986
40	1124	25967
41	1151	25936
42	1179	25911
43	1207	25898
44	1243	26061
45	1270	26015
46	1297	25980
47	1325	25950
48	1351	25904
49	1382	25940
50	1417	26047
51	1445	26018
52	1471	25958
53	1499	25931
54	1525	25882
55	1552	25840
56	1578	25774
57	1603	25718
58	1629	25663
59	1656	25621
60	1683	25587
61	1711	25563
62	1741	25565
63	1780	25700
64	1811	25727
65	1841	25723
66	1870	25706
67	1898	25686
68	1925	25643
69	1953	25620
70	1982	25598
71	2010	25571
72	2035	25512
73	2068	25547
74	2096	25524
75	2124	25496
76	2150	25445
77	2176	25395
78	2202	25340
79	2228	25296
80	2254	25240
81	2281	25212
82	2309	25179
83	2335	25129
84	2360	25075
85	2386	25028
86	2414	25005
87	2440	24958
88	2467	24921
89	2493	24879
90	2519	24836
91	2546	24798
92	2573	24768
93	2599	24723
94	2626	24692
95	2656	24681
96	2684	24655
97	2720	24709
98	2752	24717
99	2784	24724
100	2811	24691
101	2851	24765
102	2876	24717
103	2903	24681
104	2933	24667
105	2961	24640
106	2988	24607
107	3016	24582
108	3044	24552
109	3072	24520
110	3101	24507
111	3128	24472
112	3155	24434
113	3184	24413
114	3213	24395
115	3241	24368
116	3271	24357
117	3299	24326
118	3328	24305
119	3356	24280
120	3384	24251
121	3412	24224
122	3440	24192
123	3471	24186
124	3500	24167
125	3528	24141
126	3566	24177
127	3595	24154
128	3622	24123
129	3651	24098
130	3681	24082
131	3710	24062
132	3740	24044
133	3768	24019
134	3799	24004
135	3825	23964
136	3853	23938
137	3881	23907
138	3908	23874
139	3936	23845
140	3965	23820
141	3994	23795
142	4021	23763
143	4047	23724
144	4074	23687
145	4100	23649
146	4126	23610
147	4152	23566
148	4178	23531
149	4206	23500
150	4233	23467
151	4261	23435
152	4288	23402
153	4315	23369
154	4341	23329
155	4367	23294
156	4394	23260
157	4421	23225
158	4448	23192
159	4476	23167
160	4503	23134
161	4530	23101
