iter	Passed	Remaining
162	4558	23070
163	4585	23039
164	4612	23005
165	4638	22969
166	4665	22936
167	4692	22902
168	4719	22872
169	4747	22843
170	4778	22832
171	4807	22809
172	4835	22777
173	4860	22737
174	4887	22707
175	4914	22675
176	4941	22639
177	4968	22608
178	4997	22587
179	5027	22568
180	5057	22548
181	5087	22530
182	5118	22518
183	5148	22495
184	5178	22478
185	5209	22462
186	5239	22443
187	5271	22431
188	5301	22413
189	5330	22388
190	5359	22363
191	5387	22335
192	5416	22313
193	5445	22287
194	5477	22275
195	5504	22243
196	5531	22210
197	5558	22177
198	5585	22145
199	5611	22111
200	5640	22083
201	5668	22055
202	5698	22037
203	5727	22011
204	5754	21978
205	5782	21951
206	5809	21920
207	5838	21892
208	5863	21854
209	5888	21816
210	5913	21776
211	5939	21742
212	5965	21705
213	5991	21671
214	6017	21633
215	6043	21601
216	6071	21570
217	6099	21543
218	6125	21508
219	6151	21473
220	6177	21441
221	6204	21408
222	6233	21382
223	6260	21351
224	6287	21320
225	6316	21297
226	6349	21285
227	6377	21258
228	6405	21231
229	6433	21203
230	6460	21173
231	6488	21142
232	6515	21112
233	6543	21085
234	6571	21056
235	6599	21029
236	6627	21000
237	6655	20971
238	6681	20940
239	6708	20909
240	6737	20884
241	6765	20855
242	6794	20832
243	6822	20802
244	6849	20773
245	6876	20741
246	6902	20708
247	6928	20675
248	6957	20650
249	6986	20625
250	7016	20602
251	7045	20577
252	7075	20554
253	7106	20534
254	7136	20515
255	7174	20515
256	7207	20500
257	7238	20479
258	7268	20458
259	7297	20433
260	7328	20414
261	7359	20393
262	7389	20370
263	7421	20352
264	7452	20332
265	7481	20307
266	7509	20279
267	7537	20250
268	7566	20223
269	7594	20194
270	7621	20165
271	7648	20134
272	7677	20107
273	7704	20075
274	7730	20043
275	7757	20012
276	7785	19984
277	7812	19953
278	7839	19922
279	7865	19888
280	7891	19856
281	7920	19828
282	7946	19797
283	7973	19764
284	7999	19733
285	8027	19704
286	8054	19673
287	8081	19643
288	8108	19611
289	8135	19580
290	8161	19548
291	8188	19516
292	8214	19484
293	8240	19450
294	8266	19419
295	8292	19386
296	8318	19354
297	8344	19320
298	8370	19288
299	8397	19258
300	8423	19225
301	8449	19194
302	8475	19161
303	8502	19129
304	8529	19099
305	8557	19073
306	8583	19040
307	8609	19008
308	8635	18976
309	8661	18944
310	8689	18915
311	8716	18884
312	8742	18854
313	8769	18823
314	8795	18792
315	8821	18760
316	8847	18728
317	8873	18696
318	8899	18664
319	8925	18631
320	8951	18601
321	8978	18569
322	9003	18537
323	9030	18507
324	9057	18476
325	9084	18446
326	9110	18416
327	9136	18385
328	9163	18354
329	9189	18323
330	9215	18291
331	9242	18261
332	9268	18230
333	9294	18200
334	9321	18169
335	9348	18140
336	9374	18109
337	9401	18080
338	9428	18051
339	9456	18022
340	9482	17992
341	9509	17961
342	9535	17931
343	9560	17898
344	9586	17866
345	9612	17836
346	9638	17804
347	9664	17774
348	9692	17747
349	9721	17720
350	9748	17692
351	9776	17664
352	9803	17634
353	9827	17601
354	9854	17571
355	9882	17545
356	9911	17518
357	9938	17490
358	9967	17463
359	9995	17436
360	10023	17408
361	10050	17380
362	10077	17351
363	10104	17321
364	10131	17292
365	10157	17262
366	10186	17237
367	10216	17212
368	10245	17187
369	10274	17160
370	10302	17133
371	10330	17107
372	10360	17082
373	10389	17056
374	10416	17028
375	10446	17004
376	10475	16976
377	10501	16946
378	10527	16916
379	10555	16888
380	10583	16860
381	10610	16832
382	10638	16804
383	10666	16776
384	10693	16747
385	10721	16720
386	10749	16693
387	10776	16664
388	10803	16635
389	10829	16605
390	10855	16575
391	10883	16547
392	10910	16517
393	10937	16489
394	10966	16463
395	10994	16435
396	11023	16409
397	11049	16380
398	11078	16353
399	11107	16328
400	11138	16304
401	11168	16280
402	11198	16255
403	11226	16228
404	11254	16200
405	11281	16171
406	11307	16141
407	11334	16112
408	11361	16083
409	11387	16053
410	11414	16024
411	11441	15995
412	11468	15966
413	11495	15937
414	11521	15907
415	11547	15877
416	11574	15848
417	11602	15821
418	11630	15794
419	11658	15767
420	11686	15738
421	11714	15712
422	11743	15685
423	11770	15656
424	11797	15627
425	11824	15599
426	11851	15570
427	11878	15542
428	11903	15510
429	11929	15480
430	11956	15451
431	11984	15425
432	12011	15396
433	12037	15365
434	12064	15336
435	12091	15308
436	12117	15278
437	12143	15249
438	12170	15220
439	12197	15190
440	12223	15160
441	12248	15131
442	12275	15101
443	12300	15071
444	12326	15041
445	12353	15012
446	12379	14982
447	12404	14952
448	12433	14925
449	12459	14895
450	12484	14865
451	12510	14835
452	12536	14805
453	12562	14776
454	12587	14745
455	12616	14718
456	12643	14690
457	12669	14660
458	12695	14631
459	12721	14602
460	12748	14573
461	12775	14545
462	12801	14516
463	12827	14486
464	12853	14456
465	12878	14426
466	12904	14396
467	12930	14367
468	12956	14337
469	12983	14309
470	13009	14279
471	13035	14250
472	13061	14220
473	13087	14191
474	13112	14161
475	13139	14133
476	13166	14104
477	13191	14074
478	13219	14047
479	13246	14019
480	13273	13991
481	13301	13963
482	13328	13935
483	13355	13907
484	13382	13879
485	13408	13850
486	13434	13820
487	13461	13792
488	13488	13763
489	13514	13734
490	13540	13706
491	13568	13678
492	13596	13651
493	13622	13622
494	13650	13594
495	13677	13567
496	13705	13540
497	13731	13511
498	13758	13482
499	13784	13453
500	13810	13424
501	13836	13395
502	13862	13366
503	13888	13337
504	13914	13308
505	13941	13280
506	13968	13252
507	13999	13227
508	14028	13201
509	14056	13174
510	14086	13149
511	14116	13123
512	14144	13096
513	14172	13070
514	14216	13056
515	14243	13029
516	14272	13002
517	14301	12976
518	14329	12948
519	14357	12921
520	14385	12894
521	14413	12867
522	14442	12840
523	14470	12813
524	14499	12787
525	14529	12761
526	14560	12736
527	14589	12710
528	14617	12683
529	14647	12657
530	14675	12630
531	14704	12603
532	14732	12576
533	14760	12549
534	14788	12521
535	14817	12495
536	14847	12469
537	14875	12442
538	14904	12415
539	14931	12387
540	14958	12359
541	14986	12331
542	15012	12302
543	15038	12273
544	15064	12244
545	15090	12215
546	15117	12187
547	15143	12159
548	15169	12129
549	15194	12100
550	15220	12071
551	15248	12044
552	15275	12016
553	15304	11989
554	15331	11961
555	15358	11933
556	15386	11905
557	15413	11878
558	15440	11849
559	15467	11821
560	15492	11792
561	15517	11762
562	15544	11734
563	15573	11707
564	15600	11679
565	15628	11652
566	15654	11623
567	15682	11595
568	15709	11567
569	15736	11540
570	15764	11512
571	15792	11485
572	15821	11458
573	15851	11432
574	15881	11406
575	15909	11379
576	15938	11353
577	15966	11325
578	15992	11297
579	16019	11268
580	16044	11239
581	16070	11210
582	16097	11182
583	16126	11155
584	16154	11128
585	16183	11101
586	16212	11075
587	16240	11047
588	16268	11020
589	16295	10992
590	16323	10965
591	16350	10937
592	16376	10908
593	16403	10880
594	16430	10852
595	16457	10824
596	16483	10795
597	16508	10766
598	16535	10738
599	16561	10709
600	16587	10681
601	16612	10651
602	16639	10624
603	16665	10595
604	16691	10566
605	16718	10538
606	16746	10511
607	16771	10481
608	16796	10453
609	16823	10425
610	16851	10397
611	16879	10370
612	16906	10342
613	16933	10314
614	16959	10285
615	16985	10257
616	17013	10230
617	17041	10202
618	17071	10176
619	17100	10150
620	17129	10123
621	17159	10096
622	17187	10069
623	17217	10043
624	17244	10015
625	17270	9986
626	17298	9959
627	17324	9931
628	17351	9903
629	17377	9874
630	17402	9845
631	17428	9817
632	17454	9789
633	17481	9760
634	17507	9732
635	17532	9703
636	17559	9675
637	17585	9647
638	17611	9619
639	17637	9590
640	17663	9561
641	17689	9533
642	17716	9505
643	17743	9477
644	17770	9449
645	17796	9421
646	17823	9393
647	17851	9366
648	17879	9339
649	17908	9312
650	17937	9285
651	17966	9258
652	17995	9232
653	18023	9204
654	18050	9176
655	18077	9148
656	18103	9120
657	18130	9092
658	18158	9065
659	18185	9037
660	18214	9010
661	18242	8983
662	18271	8956
663	18298	8929
664	18328	8902
665	18357	8875
666	18383	8847
667	18409	8818
668	18435	8790
669	18461	8762
670	18488	8734
671	18514	8706
672	18539	8677
673	18565	8649
674	18591	8620
675	18617	8592
676	18643	8564
677	18669	8536
678	18697	8508
679	18726	8482
680	18753	8454
681	18780	8426
682	18808	8399
683	18833	8370
684	18860	8342
685	18887	8314
686	18913	8286
687	18940	8258
688	18966	8230
689	18992	8202
690	19018	8174
691	19046	8146
692	19072	8118
693	19099	8091
694	19127	8063
695	19153	8035
696	19179	8007
697	19206	7979
698	19231	7951
699	19259	7923
700	19286	7896
701	19312	7868
702	19338	7839
703	19365	7812
704	19391	7784
705	19417	7755
706	19443	7727
707	19468	7699
708	19494	7671
709	19520	7643
710	19546	7615
711	19571	7586
712	19599	7559
713	19625	7531
714	19652	7503
715	19680	7476
716	19707	7448
717	19733	7420
718	19759	7392
719	19785	7364
720	19811	7336
721	19838	7309
722	19872	7283
723	19910	7260
724	19937	7232
725	19965	7205
726	19993	7177
727	20021	7150
728	20048	7122
729	20076	7095
730	20102	7067
731	20129	7039
732	20156	7012
733	20183	6984
734	20209	6956
735	20235	6928
736	20262	6900
737	20287	6872
738	20314	6844
739	20340	6816
740	20366	6788
741	20391	6760
742	20417	6732
743	20443	6704
744	20471	6677
745	20496	6649
746	20523	6621
747	20551	6594
748	20578	6566
749	20604	6538
750	20630	6510
751	20655	6482
752	20682	6454
753	20708	6426
754	20735	6399
755	20761	6371
756	20787	6343
757	20813	6315
758	20841	6288
759	20867	6260
760	20894	6232
761	20921	6205
762	20947	6177
763	20973	6149
764	20998	6121
765	21024	6093
766	21050	6065
767	21076	6037
768	21102	6009
769	21128	5981
770	21154	5953
771	21182	5926
772	21209	5899
773	21236	5871
774	21263	5844
775	21291	5816
776	21318	5789
777	21344	5761
778	21370	5733
779	21398	5706
780	21425	5678
781	21451	5650
782	21478	5623
783	21504	5595
784	21531	5567
785	21557	5540
786	21582	5512
787	21610	5484
788	21637	5457
789	21664	5429
790	21691	5402
791	21719	5374
792	21746	5347
793	21772	5319
794	21798	5292
795	21826	5264
796	21854	5237
797	21882	5210
798	21910	5182
799	21939	5155
800	21968	5128
801	21996	5101
802	22024	5074
803	22053	5047
804	22083	5020
805	22113	4993
806	22143	4966
807	22172	4939
808	22200	4912
809	22230	4885
810	22257	4857
811	22287	4830
812	22314	4803
813	22342	4775
814	22372	4749
815	22402	4722
816	22433	4695
817	22462	4668
818	22491	4641
819	22521	4614
820	22550	4586
821	22577	4559
822	22605	4532
823	22631	4504
824	22657	4476
825	22684	4449
826	22711	4421
827	22737	4393
828	22764	4366
829	22791	4338
830	22817	4310
831	22843	4283
832	22869	4255
833	22894	4227
834	22920	4199
835	22945	4171
836	22972	4144
837	22998	4116
838	23024	4088
839	23050	4061
840	23076	4033
841	23103	4006
842	23129	3978
843	23156	3950
844	23184	3923
845	23211	3896
846	23240	3868
847	23268	3841
848	23296	3814
849	23324	3786
850	23351	3759
851	23378	3731
852	23404	3704
853	23431	3676
854	23457	3648
855	23483	3621
856	23508	3593
857	23535	3565
858	23560	3538
859	23586	3510
860	23612	3482
861	23640	3455
862	23665	3427
863	23693	3400
864	23721	3373
865	23747	3345
866	23774	3318
867	23800	3290
868	23826	3262
869	23853	3235
870	23880	3207
871	23905	3180
872	23932	3152
873	23958	3125
874	23984	3097
875	24011	3069
876	24037	3042
877	24064	3014
878	24091	2987
879	24117	2959
880	24144	2932
881	24169	2904
882	24195	2877
883	24221	2849
884	24248	2822
885	24274	2794
886	24300	2767
887	24327	2739
888	24352	2711
889	24378	2684
890	24406	2657
891	24432	2629
892	24458	2602
893	24484	2574
894	24511	2547
895	24537	2519
896	24565	2492
897	24591	2464
898	24628	2438
899	24659	2411
900	24686	2383
901	24713	2356
902	24741	2328
903	24768	2301
904	24795	2274
905	24820	2246
906	24846	2218
907	24873	2191
908	24900	2164
909	24927	2136
910	24953	2109
911	24982	2081
912	25011	2054
913	25040	2027
914	25068	1999
915	25096	1972
916	25124	1945
917	25151	1917
918	25179	1890
919	25204	1862
920	25231	1835
921	25257	1808
922	25283	1780
923	25310	1753
924	25337	1725
925	25363	1698
926	25389	1670
927	25415	1643
928	25442	1615
929	25468	1588
930	25494	1560
931	25521	1533
932	25548	1506
933	25574	1478
934	25600	1451
935	25627	1423
936	25654	1396
937	25681	1368
938	25707	1341
939	25732	1314
940	25758	1286
941	25785	1259
942	25810	1231
943	25836	1204
944	25863	1176
945	25889	1149
946	25917	1122
947	25942	1094
948	25969	1067
949	25995	1039
950	26021	1012
951	26048	985
952	26075	957
953	26101	930
954	26129	902
955	26155	875
956	26183	848
957	26210	820
958	26237	793
959	26263	766
960	26290	738
961	26318	711
962	26345	683
963	26370	656
964	26396	629
965	26423	601
966	26449	574
967	26476	547
968	26503	519
969	26529	492
970	26555	464
971	26582	437
972	26608	410
973	26635	382
974	26661	355
975	26688	328
976	26716	300
977	26742	273
978	26768	246
979	26795	218
980	26821	191
981	26847	164
982	26873	136
983	26899	109
984	26925	82
985	26951	54
986	26977	27
987	27003	0
