iter	Logloss
0	0.6699377266
1	0.6485218278
2	0.6289732174
3	0.6108454483
4	0.5929888074
5	0.5778724314
6	0.5625719472
7	0.5488638612
8	0.5355995347
9	0.5232563042
10	0.5115024196
11	0.500649927
12	0.4904353079
13	0.4814312208
14	0.4729378687
15	0.4645710366
16	0.4573529304
17	0.4503544236
18	0.4437612021
19	0.4372200397
20	0.431653024
21	0.4259437036
22	0.4213155278
23	0.4160966306
24	0.4117334159
25	0.4073919298
26	0.4032260279
27	0.399731532
28	0.3960314285
29	0.3927626806
30	0.3893264526
31	0.386236597
32	0.3833494925
33	0.380451727
34	0.37779309
35	0.3752483125
36	0.3726805171
37	0.3705019407
38	0.3683360636
39	0.3661983771
40	0.3642487635
41	0.3626915871
42	0.3608662572
43	0.3593101701
44	0.3577276455
45	0.3562606753
46	0.3549002868
47	0.3535072909
48	0.3522526743
49	0.3511123599
50	0.349874156
51	0.3488074586
52	0.3478475086
53	0.3468588637
54	0.345884822
55	0.3449432036
56	0.344125574
57	0.3433849228
58	0.3426323747
59	0.3418394144
60	0.3410424045
61	0.3402553995
62	0.3395668314
63	0.3389013624
64	0.3383057265
65	0.337657748
66	0.337041443
67	0.3365163015
68	0.3359635559
69	0.3354455239
70	0.3349726375
71	0.3345606966
72	0.334060283
73	0.3336662465
74	0.3332288126
75	0.3328161899
76	0.332364926
77	0.3319990124
78	0.3316036509
79	0.3312904471
80	0.3309962079
81	0.3306896247
82	0.330386076
83	0.3300917203
84	0.3298040158
85	0.3294964165
86	0.3292006811
87	0.328880876
88	0.3286608568
89	0.3284073052
90	0.3281540846
91	0.3278897337
92	0.3276112404
93	0.3273725923
94	0.3271598908
95	0.3269352047
96	0.3267188602
97	0.3265411642
98	0.3263352299
99	0.3261131163
100	0.3258502381
101	0.3256555212
102	0.3254843358
103	0.325321303
104	0.3251254062
105	0.3249409971
106	0.3247663677
107	0.3246050218
108	0.3244388579
109	0.3242366685
110	0.3240500444
111	0.3238804055
112	0.3237317662
113	0.3235442466
114	0.3233848343
115	0.3232277381
116	0.3230409089
117	0.3229249386
118	0.3227902102
119	0.3226405678
120	0.3225038195
121	0.3223426839
122	0.3222014281
123	0.3220483192
124	0.3219484218
125	0.3218085456
126	0.3216829334
127	0.3215488662
128	0.3214133717
129	0.3212984922
130	0.3211572163
131	0.321037457
132	0.320936267
133	0.3208099021
134	0.3206832401
135	0.3205480754
136	0.3204166272
137	0.3203217205
138	0.3201851792
139	0.3200668093
140	0.3199626094
141	0.3198532594
142	0.3197473046
143	0.3196715672
144	0.3195767286
145	0.3194898589
146	0.3194086774
147	0.319303406
148	0.3191881757
149	0.3190915556
150	0.319000558
151	0.3188829056
152	0.3187733975
153	0.3186927461
154	0.318568286
155	0.3184891951
156	0.3183875384
157	0.318305245
158	0.3182325109
159	0.3181549481
160	0.3180702091
161	0.3179944649
162	0.3179146781
163	0.3178153288
164	0.31774713
165	0.317667529
166	0.3175624735
167	0.3174769983
168	0.3173911076
169	0.317315136
170	0.3172414395
171	0.3171765871
172	0.317096377
173	0.3170160263
174	0.3169139215
175	0.3168113589
176	0.3167079464
177	0.3166193874
178	0.3165250093
179	0.3164298945
180	0.3163489414
181	0.3162546112
182	0.3161702519
183	0.3161110428
184	0.3160581461
185	0.3159995374
186	0.3159267374
187	0.3158448685
188	0.315748522
189	0.3156786454
190	0.3155962144
191	0.3155117194
192	0.3154194777
193	0.315352025
194	0.3152521971
195	0.3151687276
196	0.3150859972
197	0.3150160081
198	0.3149517861
199	0.3148856933
200	0.314799481
201	0.3146956511
202	0.3146190498
203	0.3145586529
204	0.3144976879
205	0.314419511
206	0.3143378246
207	0.3142672543
208	0.31419954
209	0.3141174771
210	0.3140399223
211	0.3139747207
212	0.3138798461
213	0.3137957946
214	0.3137325927
215	0.3136530438
216	0.3136008327
217	0.3135543778
218	0.3134972873
219	0.3134330863
220	0.3133809526
221	0.3133131509
222	0.3132138426
223	0.3131438691
224	0.3130677965
225	0.313007015
226	0.3129197156
227	0.3128607372
228	0.3127937043
229	0.3127174098
230	0.3126706653
231	0.3125928785
232	0.3125287962
233	0.3124359522
234	0.3123854958
235	0.3123405176
236	0.3122727238
237	0.3122282891
238	0.3121797432
239	0.3121175476
240	0.312050724
241	0.3119713067
242	0.311921722
243	0.3118500338
244	0.3117919294
245	0.3117186552
246	0.3116529965
247	0.311581398
248	0.3114963376
249	0.3114093325
250	0.3113630049
251	0.3112960271
252	0.311248818
253	0.3111745546
254	0.311109742
255	0.3110447058
256	0.3109869078
257	0.3109371742
258	0.3108799041
259	0.3108281678
260	0.3107785118
261	0.310694874
262	0.3106328557
263	0.3105801186
264	0.3105222907
265	0.3104488563
266	0.3103877216
267	0.3103165427
268	0.3102556147
269	0.3101915781
270	0.3101145808
271	0.3100304343
272	0.3099560549
273	0.3098721915
274	0.3098110388
275	0.3097703681
276	0.309715788
277	0.3096537042
278	0.3095981378
279	0.3095502211
280	0.3094862697
281	0.3094273076
282	0.3093773747
283	0.3093206375
284	0.3092514624
285	0.3091813923
286	0.3091291014
287	0.3090864649
288	0.3090420787
289	0.3089744438
290	0.3089253881
291	0.3088742709
292	0.3088200715
293	0.3087580422
294	0.3086689247
295	0.3086032643
296	0.3085487867
297	0.3084874546
298	0.308427365
299	0.3083893872
300	0.3083433876
301	0.3082516223
302	0.3082035829
303	0.3081337518
304	0.3080844846
305	0.3080206287
306	0.3079635382
307	0.3078867399
308	0.3078192601
309	0.3077324179
310	0.3076879244
311	0.30762693
312	0.3075723476
313	0.3075141974
314	0.3074531271
315	0.3074090025
316	0.3073527976
317	0.3072913747
318	0.3072371176
319	0.3071975121
320	0.3071464872
321	0.3071039808
322	0.307047068
323	0.3069572135
324	0.3068906251
325	0.3068115091
326	0.3067415702
327	0.3066970429
328	0.3066457183
329	0.3065896396
330	0.3065368095
331	0.3064873086
332	0.3064521703
333	0.306400712
334	0.3063431623
335	0.306271053
336	0.3062216799
337	0.3061903715
338	0.3061202795
339	0.3060786379
340	0.3060173724
341	0.3059595992
342	0.3058856029
343	0.3058324071
344	0.3057766972
345	0.3057040487
346	0.3056491828
347	0.3056070853
348	0.305548722
349	0.3054835801
350	0.3054315281
351	0.3053792009
352	0.3053184585
353	0.3052685811
354	0.305213307
355	0.305155926
356	0.3051122019
357	0.3050468736
358	0.3049901054
359	0.3049459846
360	0.3048601373
361	0.3048308034
362	0.3047774503
363	0.3047079991
364	0.3046599617
365	0.3046204789
366	0.3045373283
367	0.3044710357
368	0.3044187796
369	0.3043863701
370	0.3043258991
371	0.3042693336
372	0.3041955958
373	0.3041321149
374	0.3040926894
375	0.3040303881
376	0.3039864214
377	0.3039192498
378	0.3038396564
379	0.3037770341
380	0.3037325743
381	0.3036857271
382	0.3036276425
383	0.3035916012
384	0.3035279292
385	0.3034556431
386	0.3034115483
387	0.3033528815
388	0.3033016028
389	0.3032407272
390	0.3031948105
391	0.3031353239
392	0.3030677261
393	0.3030143884
394	0.3029750307
395	0.3029273987
396	0.3028622842
397	0.3028018191
398	0.3027470738
399	0.3026974951
400	0.3026507365
401	0.3025805315
402	0.3025223635
403	0.3024407041
404	0.3023533852
405	0.3022953627
406	0.3022224959
407	0.3021851905
408	0.3021341524
409	0.3020911473
410	0.3020492489
411	0.3019912572
412	0.3019451016
413	0.3018924301
414	0.3018421668
415	0.301779582
416	0.3017387871
417	0.3016858683
418	0.3016225393
419	0.3015729176
420	0.3015181091
421	0.3014623616
422	0.3014139817
423	0.301360494
424	0.3013088095
425	0.3012687311
426	0.3012135507
427	0.3011669938
428	0.3011040334
429	0.3010488164
430	0.3010052223
431	0.3009628375
432	0.3009336473
433	0.3008697803
434	0.3008224393
435	0.3007766001
436	0.3007195966
437	0.300670391
438	0.3006290381
439	0.3005709739
440	0.3005341711
441	0.3004778449
442	0.3004440763
443	0.3003891982
444	0.3003506897
445	0.3002980394
446	0.3002483468
447	0.3002134593
448	0.3001526429
449	0.3001013294
450	0.3000493166
451	0.2999939277
452	0.2999542745
453	0.299901386
454	0.2998412442
455	0.2997743783
456	0.2997263639
457	0.2996850977
458	0.299634517
459	0.2995824581
460	0.2995326853
461	0.2994880781
462	0.2994438659
463	0.2993850435
464	0.2993260055
465	0.299270449
466	0.2992184632
467	0.2991740146
468	0.299135802
469	0.2990753809
470	0.2990468833
471	0.2990033768
472	0.2989526782
473	0.2989023394
474	0.2988604938
475	0.2988190093
476	0.2987580963
477	0.2986816802
478	0.2986249185
479	0.2985693928
480	0.2985244041
481	0.2984800107
482	0.2984434478
483	0.2983908987
484	0.2983242068
485	0.2982810517
486	0.2982421128
487	0.2981932493
488	0.2981557773
489	0.2980988487
490	0.2980596368
491	0.2979915375
492	0.2979347558
493	0.2978934429
494	0.2978499506
495	0.2978071047
496	0.2977715032
497	0.2977020287
498	0.2976654553
499	0.2976305538
500	0.2975970785
501	0.2975463926
502	0.2974983698
503	0.2974660412
504	0.2974042307
505	0.2973586843
506	0.2973143901
507	0.2972767447
508	0.2972417018
509	0.2971817297
510	0.2971297486
511	0.2970634256
512	0.2970081042
513	0.2969658671
514	0.2969168003
515	0.2968726029
516	0.2968222281
517	0.2967854823
518	0.2967450545
519	0.2967096258
520	0.2966686246
521	0.2966364391
522	0.2965897
523	0.2965474814
524	0.2964957057
525	0.2964452531
526	0.2963823789
527	0.2963216295
528	0.2962813109
529	0.2962449361
530	0.296210432
531	0.2961742028
532	0.2961415591
533	0.2960925594
534	0.2960682836
535	0.2960375491
536	0.2959842024
537	0.2959204312
538	0.2958816825
539	0.2958300869
540	0.2957939635
541	0.2957512158
542	0.29569648
543	0.2956574756
544	0.2956174275
545	0.295573567
546	0.2955143949
547	0.2954739753
548	0.295433911
549	0.2953924968
550	0.2953485406
551	0.2953009054
552	0.2952552961
553	0.2951971559
554	0.2951655408
555	0.2951312535
556	0.2950835675
557	0.2950299623
558	0.294988231
559	0.294948893
560	0.2948970873
561	0.2948533194
562	0.2948000622
563	0.2947534189
564	0.2947082042
565	0.2946610881
566	0.294602173
567	0.2945503607
568	0.2944965674
569	0.294434939
570	0.294405255
571	0.2943537386
572	0.2943108719
573	0.2942596511
574	0.2942151589
575	0.2941710118
576	0.2941312979
577	0.2940856681
578	0.2940384107
579	0.2940031535
580	0.2939730447
581	0.2939241699
582	0.2938907572
583	0.2938516213
584	0.293815657
585	0.2937677851
586	0.2936967654
587	0.2936651878
588	0.2936165203
589	0.2935699141
590	0.2935204679
591	0.2934626306
592	0.2934139287
593	0.2933652566
594	0.2933039147
595	0.2932618461
596	0.293210459
597	0.2931446526
598	0.2930874774
599	0.2930349011
600	0.2929968276
601	0.2929694823
602	0.2929260861
603	0.2928810829
604	0.2928388411
605	0.292781704
606	0.2927424997
607	0.2927129806
608	0.2926702255
609	0.2926349072
610	0.2925882675
611	0.2925372648
612	0.2925018704
613	0.2924618504
614	0.2924216533
615	0.2923821478
616	0.2923347509
617	0.2922922093
618	0.2922249119
619	0.2921886005
620	0.2921447902
621	0.2920978341
622	0.2920419876
623	0.2919998219
624	0.2919460471
625	0.2919030901
626	0.2918481396
627	0.2917870998
628	0.2917305448
629	0.2916836857
630	0.2916491363
631	0.2915972715
632	0.2915604843
633	0.291522952
634	0.2914740165
635	0.2914197212
636	0.2913697702
637	0.2913231509
638	0.2912885489
639	0.2912500182
640	0.2912144334
641	0.2911698857
642	0.2911285557
643	0.2910805418
644	0.2910373018
645	0.2909890878
646	0.2909492284
647	0.290924452
648	0.2908922662
649	0.2908490068
650	0.2908062606
651	0.2907517005
652	0.2906926566
653	0.290643376
654	0.2906019633
655	0.2905625424
656	0.2905168982
657	0.2904768912
658	0.2904168558
659	0.2903833109
660	0.2903263394
661	0.2902690283
662	0.2902147858
663	0.2901845057
664	0.2901328484
665	0.2900879981
666	0.2900539331
667	0.2900224514
668	0.2899890046
669	0.2899579512
670	0.2899119761
671	0.2898886189
672	0.2898415586
673	0.289795522
674	0.2897622332
675	0.2897255147
676	0.2896924656
677	0.2896619217
678	0.2895988155
679	0.2895314324
680	0.2894885214
681	0.2894337567
682	0.2893801595
683	0.289330917
684	0.2892752764
685	0.2892216123
686	0.2891722346
687	0.2891271135
688	0.2890729166
689	0.2890332014
690	0.2889979751
691	0.2889422105
692	0.2888760357
693	0.2888242307
694	0.2887676986
695	0.2887295223
696	0.2886684335
697	0.2886301561
698	0.28858588
699	0.2885221076
700	0.2884595227
701	0.288412539
702	0.2883804124
703	0.2883380023
704	0.2883018407
705	0.2882703543
706	0.2882052728
707	0.2881684508
708	0.288120795
709	0.2880646498
710	0.288023639
711	0.2880115415
712	0.2879784259
713	0.2879432152
714	0.2878827097
715	0.2878284956
716	0.2877824124
717	0.2877461713
718	0.287697741
719	0.2876429379
720	0.2875959836
721	0.287537389
722	0.287489753
723	0.2874459552
724	0.287398126
725	0.2873341929
726	0.287280886
727	0.2872321073
728	0.2871970958
729	0.2871487583
730	0.2871034684
731	0.2870573975
732	0.2870222774
733	0.2869790073
734	0.2869414557
735	0.2869156991
736	0.2868830106
737	0.286868507
738	0.2868417945
739	0.2868023742
740	0.2867583524
741	0.2867292604
742	0.2866890748
743	0.2866632029
744	0.2866113616
745	0.2865925958
746	0.2865405573
747	0.2864962418
748	0.2864526629
749	0.2864105594
750	0.2863854759
751	0.2863439217
752	0.2863003727
753	0.286278772
754	0.2862324066
755	0.2861958562
756	0.2861729199
757	0.2861449665
758	0.2861090294
759	0.2860692227
760	0.2860331978
761	0.2859910959
762	0.2859625542
763	0.2859057977
764	0.2858704706
765	0.285841557
766	0.2857767991
767	0.285754657
768	0.2857308452
769	0.2856907826
770	0.2856614246
771	0.2856065369
772	0.2855685621
773	0.285525555
774	0.2854709308
775	0.285427981
776	0.2853744011
777	0.285335831
778	0.2852756844
779	0.28523307
780	0.2851771114
781	0.285146275
782	0.2851253104
783	0.2850479158
784	0.2850088756
785	0.2849366042
786	0.2849044881
787	0.2848515065
788	0.2848053122
789	0.2847532352
790	0.2847115775
791	0.2846746378
792	0.2846477922
793	0.2846075394
794	0.2845670356
795	0.2845323874
796	0.2844605746
797	0.2844168042
798	0.2843711574
799	0.2843252882
800	0.284262715
801	0.2842211789
802	0.2841456877
803	0.2840979806
804	0.2840567265
805	0.2840127783
806	0.2839762353
807	0.283932374
808	0.2839096961
809	0.2838791597
810	0.2838249422
811	0.2837659898
812	0.2837258389
813	0.2836695083
814	0.2836182064
815	0.2835733778
816	0.2835263493
817	0.2834887089
818	0.2834316813
819	0.283379416
820	0.2833227769
821	0.2832815828
822	0.2832423451
823	0.2832005485
824	0.283167837
825	0.2831011022
826	0.2830502475
827	0.2830158229
828	0.2829620265
829	0.2829292402
830	0.2829011974
831	0.2828712162
832	0.2828276668
833	0.282791468
834	0.2827565859
835	0.28270842
836	0.2826744952
837	0.2826065347
838	0.2825631131
839	0.2825186216
840	0.2824770872
841	0.2824407386
842	0.2823922635
843	0.2823258672
844	0.2822673623
845	0.28221528
846	0.2821617093
847	0.2821325225
848	0.2820882789
849	0.2820371043
850	0.2820116713
851	0.2819739756
852	0.281938813
853	0.2818854542
854	0.2818324046
855	0.2817978217
856	0.2817659961
857	0.2817147962
858	0.2816863214
859	0.2816553715
860	0.2815996829
861	0.2815640649
862	0.2815367246
863	0.281484339
864	0.281446712
865	0.2813905784
866	0.2813329907
867	0.2812947281
868	0.2812463312
869	0.2811942133
870	0.2811525612
871	0.2811028103
872	0.2810387521
873	0.2810142829
874	0.2809865405
875	0.280946424
